id,company_name,company_code,market_cap,stock_price,daily_gain,country
85,Gilat Telecom,GILT,0.54,9.66,-0.82,Israel
86,Ooma,OOMA,0.49,21.38,-5.48,USA
87,Zix,ZIXI,0.41,7.31,-5.56,USA
88,GTPL Hathway,GTPL.NS,0.33,3.00,0.14,India
89,Sasken Technologies,SASKEN.NS,0.28,18.62,-0.55,India
90,B Communications,BCOM,0.27,2.28,3.17,Israel
91,RigNet,RNET,0.20,9.60,-2.24,USA
92,Spok Holdings,SPOK,0.20,10.34,-2.36,USA
93,Alaska Communications,ALSK,0.18,3.40,0.29,USA
94,Nelco,NELCO.NS,0.17,7.55,5.00,India
95,Resonant,RESN,0.17,2.73,-2.85,USA
96,Mahanagar Telephone Nigam,MTNL.NS,0.16,0.25,1.36,India
97,GTT Communications,GTT,0.13,2.36,0.00,USA
98,Reliance Communications,RCOM.NS,0.10,0.04,3.57,India
99,Vislink Technologies,VISL,0.09,2.05,-1.44,USA
